ESTADOS;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12
Acre;0,34;4,36;1,23;2,91;0,56;3,69;4,25;0,22;3,02;0,34;0,67;0,11
Alagoas;0,87;3,76;1,43;0,09;0,98;5,97;4,03;0,42;2,3;0,33;1,76;0,3
Amapa;0,58;2,2;2,2;0,12;0,81;4,87;6,5;0,12;2,32;0,12;0,81;0,35
Amazonas;0,33;3,73;4,4;0,05;1,26;4,14;6,61;1,33;1,16;0,14;1,07;0,43
Bahia;1,09;4,04;2,03;7,02;1,69;9,48;2,91;1,02;2,12;0,21;1,96;0,33
Ceara;0,45;6,43;3,12;0,09;1,76;7,52;3,77;2,97;2,27;0,33;2,34;0,49
Distrito Federal;0,62;5,27;2;8,51;2,59;5,47;3,5;1,6;1,67;0,2;2,62;0,59
Espirito Santo;1,23;4,77;2,56;8,49;1,67;8,29;3,91;1,45;2,56;0,27;2,78;0,69
Goias;0,49;5,45;2,9;0,1;1,8;6,85;3,19;0,84;2,8;0,21;2,77;1,03
Maranhao;0,28;2,74;1,57;3,57;0,79;6,2;4,61;0,27;2,16;0,1;1,22;0,27
Mato Grosso;0,96;5,73;2,1;0,09;0,94;7,91;3,12;2,55;1,25;0,17;1,99;0,28
Mato Grosso do Sul;0,71;6,41;4,59;0,25;1,85;7,33;3,49;0,82;2,56;0,39;2,71;1,14
Minas Gerais;1,64;5,75;4,24;0,11;1,94;7,46;2,14;1,35;2,85;0,27;2,71;1,13
Parana;1,76;7,24;2,7;8,67;2,3;8,62;3;1,15;3,52;0,35;3,53;0,87
Paraiba;0,4;5,35;4,01;7,28;1,26;7,72;3,96;0,82;2,62;0,5;2,01;0,57
Para;0,18;2,69;4,82;0,02;0,76;4,65;4,18;0,33;1,46;0,16;1,09;0,55
Pernambuco;0,69;4,92;3,72;0,07;2,11;8,43;3,33;2,02;2,57;0,23;2,29;0,8
Piaui;0,3;3,57;1,65;0,06;1,65;6,61;4,08;0,79;2,9;0,15;1,19;0,4
Rio Grande do Norte;0,42;6,2;4,7;8,55;1,73;8,26;3,25;0,68;2,29;0,25;1,98;0,93
Rio Grande do Sul;2,58;17,17;2,88;12,05;2,47;10,26;3,48;5,94;4,56;0,51;5,18;1,22
Rio de Janeiro;1,09;8,67;2,8;0,15;2,1;8,62;3,2;2,52;2,46;0,23;3,76;0,88
Rondonia;0,78;4,62;4,56;4,51;0,89;5,51;2,95;0,33;1,95;0,06;1,84;0,78
Roraima;0,32;3,8;1,74;3,96;0,79;4,12;4,91;0,48;1,27;0,16;0,95;0,79
Santa Catarina;2,21;7,27;3,41;0,14;1,9;7,2;2,88;0,95;4,12;0,43;3,43;0,88
Sergipe;0,47;5,18;1,64;7,33;1,51;7,68;3,67;1,81;2,63;0,13;1,68;0,43
Sao Paulo;2;6,67;2,54;0,12;2,21;6,8;2,22;0,63;3,14;0,33;3,77;0,79
Tocantins;0,5;3,27;2,89;4,09;1,01;6,79;3,65;0,75;2,08;0,31;2,64;0,69
